Date,Product_ID,Product_Name,Category,Sales_Quantity,Price,Current_Stock,Month,DayOfWeek,Season
2025-01-01,P001,Laptop,Electronics,207,55000,384,1,Wednesday,Winter
2025-01-01,P002,Smartphone,Electronics,244,25000,806,1,Wednesday,Winter
2025-01-01,P003,Headphones,Accessories,225,2500,804,1,Wednesday,Winter
2025-01-01,P004,Keyboard,Accessories,172,1500,868,1,Wednesday,Winter
2025-01-01,P005,Mouse,Accessories,122,800,990,1,Wednesday,Winter
2025-01-01,P006,Monitor,Electronics,222,12000,501,1,Wednesday,Winter
2025-01-01,P007,Printer,Office Equipment,222,15000,1005,1,Wednesday,Winter
2025-01-01,P008,Tablet,Electronics,224,18000,365,1,Wednesday,Winter
2025-01-01,P009,Smartwatch,Electronics,84,5000,1067,1,Wednesday,Winter
2025-01-01,P010,Camera,Electronics,169,30000,320,1,Wednesday,Winter
2025-01-01,P011,Speaker,Accessories,104,3500,847,1,Wednesday,Winter
2025-01-01,P012,Router,Networking,84,2500,816,1,Wednesday,Winter
2025-01-01,P013,SSD,Storage,54,4500,1017,1,Wednesday,Winter
2025-01-01,P014,Hard Disk,Storage,233,4000,752,1,Wednesday,Winter
2025-01-01,P015,USB Drive,Storage,135,700,309,1,Wednesday,Winter
2025-01-01,P016,Power Bank,Accessories,202,1200,1164,1,Wednesday,Winter
2025-01-01,P017,Microphone,Accessories,146,2800,577,1,Wednesday,Winter
2025-01-01,P018,Projector,Office Equipment,234,35000,397,1,Wednesday,Winter
2025-01-01,P019,Gaming Console,Electronics,111,45000,440,1,Wednesday,Winter
2025-01-01,P020,Webcam,Accessories,247,2200,527,1,Wednesday,Winter
2025-01-02,P001,Laptop,Electronics,125,55000,1051,1,Thursday,Winter
2025-01-02,P002,Smartphone,Electronics,108,25000,1053,1,Thursday,Winter
2025-01-02,P003,Headphones,Accessories,129,2500,872,1,Thursday,Winter
2025-01-02,P004,Keyboard,Accessories,53,1500,1021,1,Thursday,Winter
2025-01-02,P005,Mouse,Accessories,219,800,918,1,Thursday,Winter
2025-01-02,P006,Monitor,Electronics,109,12000,1032,1,Thursday,Winter
2025-01-02,P007,Printer,Office Equipment,94,15000,749,1,Thursday,Winter
2025-01-02,P008,Tablet,Electronics,83,18000,578,1,Thursday,Winter
2025-01-02,P009,Smartwatch,Electronics,199,5000,1005,1,Thursday,Winter
2025-01-02,P010,Camera,Electronics,64,30000,231,1,Thursday,Winter
2025-01-02,P011,Speaker,Accessories,198,3500,381,1,Thursday,Winter
2025-01-02,P012,Router,Networking,156,2500,871,1,Thursday,Winter
2025-01-02,P013,SSD,Storage,130,4500,699,1,Thursday,Winter
